x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
1.927880184331799285e+01,-4.799251152073734517e+01,3.865717274100926026e-01
2.027880184331799285e+01,-4.799251152073734517e+01,3.860955870119391342e-01
2.127880184331799285e+01,-4.799251152073734517e+01,3.849539203982530466e-01
2.227880184331799285e+01,-4.799251152073734517e+01,3.849446905130387009e-01
2.327880184331799285e+01,-4.799251152073734517e+01,3.843742948407626869e-01
2.427880184331799285e+01,-4.799251152073734517e+01,3.839191658554339526e-01
2.527880184331799285e+01,-4.799251152073734517e+01,3.838597378544799099e-01
2.627880184331799285e+01,-4.799251152073734517e+01,3.832795835214470870e-01
2.727880184331799285e+01,-4.799251152073734517e+01,3.815859847633524815e-01
-2.972119815668200715e+01,-4.699251152073734517e+01,4.090345961678316655e-01
-2.872119815668200715e+01,-4.699251152073734517e+01,4.086607184753265898e-01
-2.772119815668200715e+01,-4.699251152073734517e+01,4.066993225695227920e-01
-2.672119815668200715e+01,-4.699251152073734517e+01,4.039701793123713358e-01
-2.572119815668200715e+01,-4.699251152073734517e+01,4.025286351781924843e-01
-2.472119815668200715e+01,-4.699251152073734517e+01,4.019958906349523353e-01
-2.372119815668200715e+01,-4.699251152073734517e+01,4.004056950501140300e-01
-2.272119815668200715e+01,-4.699251152073734517e+01,3.998864914122526315e-01
-2.172119815668200715e+01,-4.699251152073734517e+01,3.982518055049926176e-01
-2.072119815668200715e+01,-4.699251152073734517e+01,3.979192222815490787e-01
-1.972119815668200715e+01,-4.699251152073734517e+01,3.973784430599169859e-01
-1.872119815668200715e+01,-4.699251152073734517e+01,3.970217249579204299e-01
-1.772119815668200715e+01,-4.699251152073734517e+01,3.972220485772952614e-01
-1.672119815668200715e+01,-4.699251152073734517e+01,3.970662894242082963e-01
-1.572119815668200715e+01,-4.699251152073734517e+01,3.978212385910619986e-01
-1.472119815668200715e+01,-4.699251152073734517e+01,3.977299173952166811e-01
-1.372119815668200715e+01,-4.699251152073734517e+01,3.970438907853859334e-01
-1.272119815668200715e+01,-4.699251152073734517e+01,3.964612027734673028e-01
-1.172119815668200715e+01,-4.699251152073734517e+01,3.954285462810114282e-01
-1.072119815668200715e+01,-4.699251152073734517e+01,3.950880180505067507e-01
-9.721198156682007152e+00,-4.699251152073734517e+01,3.958592278755457272e-01
-8.721198156682007152e+00,-4.699251152073734517e+01,3.966507304791004884e-01
-7.721198156682007152e+00,-4.699251152073734517e+01,3.964012555797080672e-01
-6.721198156682007152e+00,-4.699251152073734517e+01,3.963724324114674680e-01
-5.721198156682007152e+00,-4.699251152073734517e+01,3.963171803690790362e-01
-4.721198156682007152e+00,-4.699251152073734517e+01,3.960639804996093361e-01
-3.721198156682007152e+00,-4.699251152073734517e+01,3.962838093330627309e-01
-2.721198156682007152e+00,-4.699251152073734517e+01,3.963972046622239453e-01
-1.721198156682007152e+00,-4.699251152073734517e+01,3.965837967590104540e-01
-7.211981566820071521e-01,-4.699251152073734517e+01,3.964421791887140500e-01
2.788018433179928479e-01,-4.699251152073734517e+01,3.962665844327357689e-01
1.278801843317992848e+00,-4.699251152073734517e+01,3.959458630489836040e-01
2.278801843317992848e+00,-4.699251152073734517e+01,3.956052673188401592e-01
3.278801843317992848e+00,-4.699251152073734517e+01,3.951547315369352553e-01
4.278801843317992848e+00,-4.699251152073734517e+01,3.947982951446848965e-01
5.278801843317992848e+00,-4.699251152073734517e+01,3.942984901146400212e-01
6.278801843317992848e+00,-4.699251152073734517e+01,3.928892508610712930e-01
